timestamp,rate
2023-03-26 14:14:24,27901.854
2023-03-26 14:14:35,27901.854
2023-03-26 14:14:37,27901.854
2023-03-26 14:14:42,27901.854
2023-03-26 14:14:47,27901.854
2023-03-26 14:14:52,27901.854
2023-03-26 14:14:54,27901.854
2023-03-26 14:14:57,27901.854
2023-03-26 14:15:00,27907.186
2023-03-26 14:15:03,27907.186
2023-03-26 14:15:05,27907.186
2023-03-26 14:15:08,27907.186
2023-03-26 14:15:11,27907.186
2023-03-26 14:15:13,27907.186
2023-03-26 14:15:15,27907.186
2023-03-26 14:15:28,27907.186
2023-03-26 14:15:36,27907.186
2023-03-26 14:16:05,27892.73
